uid,recording_id,window,arm,t0_s,dur_s,n_channels,ridge_clearance_db,ridge_clearance_mismatch_db,ridge_margin_half_db,ridge_margin_double_db,fvk_blind,fvk_well_p03,fvk_ratio_double,fvk_ratio_half,fvk_alias_ratio_half,seed_octave,coarse_halved,coarse_mode,spread_rev_s,pr_margin_half_min_db,pr_margin_half_max_db,pr_n_doubled,verdict,ref_mae_rev_s,wall_ladder_s,rps_mean_str,rps_std_max
motor_Motor1_50__w000,motor_Motor1_50,0,seedvk,0.0,20.0,8,1.56,0.099,-3.522,2.654,0.4608378970057266,1.054,1.724,0.913,0.85,False,,,0.0,,,,doubled,,39.9,98.1,0.1517
motor_Motor1_50__w001,motor_Motor1_50,1,seedvk,16.0,20.0,8,2.277,0.228,-3.453,3.076,0.4584138865145509,1.055,1.724,0.905,0.79,False,,,0.0,,,,doubled,,40.1,98.0,0.0816
motor_Motor1_50__w002,motor_Motor1_50,2,seedvk,25.0,20.0,8,2.5,0.714,-2.984,3.176,0.4967139910855921,1.053,1.641,0.884,0.794,False,,,0.0,,,,doubled,,39.8,98.1,0.1455
motor_Motor1_70__w000,motor_Motor1_70,0,seedvk,0.0,20.0,8,8.418,0.07,1.83,3.332,0.3909488355869419,1.076,1.093,1.153,1.993,False,,,0.0,,,,accept,,39.1,68.5,0.261
motor_Motor1_70__w001,motor_Motor1_70,1,seedvk,16.0,20.0,8,9.285,0.227,1.762,4.081,0.36234042683524725,1.093,1.075,1.189,2.039,False,,,0.0,,,,accept,,39.1,68.5,0.0618
motor_Motor1_70__w002,motor_Motor1_70,2,seedvk,25.0,20.0,8,5.551,3.322,1.013,2.285,0.3776701756765212,1.092,1.121,1.177,1.932,False,,,0.0,,,,accept,,39.4,68.4,0.206
motor_Motor1_90__w000,motor_Motor1_90,0,seedvk,0.0,20.0,8,9.011,0.618,1.918,2.523,0.2862833586953726,1.127,1.25,1.265,2.479,False,,,0.0,,,,accept,,39.3,87.8,0.3042
motor_Motor1_90__w001,motor_Motor1_90,1,seedvk,5.0,20.0,8,8.112,0.839,1.968,2.661,0.286689982211374,1.139,1.288,1.201,2.381,False,,,0.0,,,,accept,,39.3,88.1,0.3504
motor_Motor3_70__w000,motor_Motor3_70,0,seedvk,0.0,20.0,8,10.424,0.267,2.013,4.954,0.4138576512835433,1.065,1.738,0.966,1.885,False,,,0.0,,,,accept,,39.4,68.7,0.1682
motor_Motor3_70__w001,motor_Motor3_70,1,seedvk,5.0,20.0,8,8.867,1.145,2.079,3.666,0.33206433267707436,1.1,2.171,1.003,1.973,False,,,0.0,,,,accept,,39.6,68.7,0.1082
motor_allMotors_70__w000,motor_allMotors_70,0,seedvk,0.0,20.0,8,3.371,0.275,0.681,1.73,0.7619427282530415,1.003,1.263,0.804,0.977,False,,,0.0,,,,accept,,39.6,68.7,0.1302
motor_allMotors_70__w001,motor_allMotors_70,1,seedvk,16.0,20.0,8,2.349,-0.24,0.232,1.631,0.8427501353444107,0.999,1.132,0.828,1.033,False,,,0.0,,,,accept,,39.7,68.7,0.1283
motor_allMotors_70__w002,motor_allMotors_70,2,seedvk,25.0,20.0,8,2.849,0.652,0.471,1.218,0.8035221754260595,0.998,1.181,0.821,1.09,False,,,0.0,,,,accept,,39.9,68.7,0.1223
